x,y,z
-0.20,0.70,4.10
0.90,0.30,-2.30
1.30,0.20,1.00
-0.50,0.30,-0.90
1.30,0.00,0.30
0.70,0.10,-1.60
0.10,0.00,-0.20
-0.20,0.20,-0.80
-0.40,0.60,-0.30
-0.30,1.00,-1.70
-2.00,0.40,0.70
-0.40,0.80,-2.80
-1.10,0.60,-3.00
0.00,-0.30,0.10
-2.00,-0.20,-1.60
1.20,0.00,-0.80
1.30,-0.70,2.30
0.60,-0.40,1.60
1.80,-0.60,2.60
0.50,-0.80,4.40
0.60,-0.20,-2.20
1.60,-0.80,-1.90
2.70,-1.30,-1.60
3.30,-2.30,-2.00
3.60,-2.80,1.90
7.80,-2.60,2.90
1.00,-1.20,1.60
-1.60,-0.80,0.80
-3.50,-0.50,-0.70
-4.60,-0.40,-1.70
0.10,-1.90,5.40
-3.10,-0.10,-0.20
-3.70,-0.30,2.60
-3.90,-0.50,-0.10
-4.40,-0.20,2.50
-3.60,-0.50,-2.20
-0.10,0.60,1.50
-1.70,0.30,-0.20
-0.30,0.80,0.00
-0.30,0.70,0.10
-1.00,0.30,-3.00
0.40,-0.60,-0.80
-1.50,-0.60,-3.70
-0.60,-1.10,1.70
2.20,-2.00,-2.30
-0.40,-2.50,1.80
2.40,-1.40,1.00
0.60,-1.90,4.40
2.00,-0.90,-5.70
5.60,-3.50,4.00
4.10,-3.50,-6.70
3.70,-3.00,-4.70
3.70,-3.20,-3.50
2.70,-3.70,-1.30
4.70,-4.50,5.20
3.10,-3.20,4.40
-2.80,-1.80,4.50
-3.80,0.20,1.90
-5.70,1.00,1.30
-6.90,1.50,2.70
-3.20,-3.60,9.30
-3.80,-1.60,9.20
-3.50,-1.50,3.80
-1.90,-0.90,2.70
-4.40,-0.60,-1.20
-2.10,-1.70,-0.40
-1.30,-2.80,-2.10
-0.80,-3.70,2.20
3.60,-5.30,3.30
1.90,-4.80,4.50
3.30,-3.00,-1.70
2.10,-2.10,1.80
2.30,-2.90,1.60
3.00,-4.30,-3.10
2.90,-4.80,-0.20
4.00,-3.90,-1.80
4.00,-3.40,-4.00
3.00,-0.90,-2.40
-0.60,-1.80,-0.40
5.20,-2.80,-1.70
2.90,-4.10,-1.10
0.80,-4.00,-3.00
2.30,-3.30,-1.30
2.20,-6.20,2.50
1.80,-6.50,6.00
0.20,-6.10,7.80
-4.70,-3.60,-0.20
-7.20,-1.40,1.20
-4.60,-1.40,-2.60
-3.50,-2.30,1.50
6.50,-3.00,7.10
6.00,-2.40,4.80
1.90,-2.70,10.30
-0.70,-0.70,0.00
-5.30,-0.40,3.20
-5.10,-0.50,-0.40
-4.90,-1.90,-3.30
-4.90,-2.60,-0.30
-3.90,-2.10,-2.40
-4.50,1.00,0.60
-1.70,1.60,-0.80
-0.20,1.00,1.30
-0.50,0.50,-0.90
-1.80,-0.20,-1.50
-0.90,-0.20,-0.80
-3.70,-0.30,0.70
0.30,-0.90,6.10
-1.70,-2.90,2.10
1.10,-3.40,3.00
1.00,-3.30,-1.20
0.30,-2.10,-1.50
2.10,-0.80,-1.40
0.20,0.20,-0.60
3.30,-0.40,1.00
0.60,-1.00,-0.60
1.70,-0.90,1.90
2.60,-1.00,-2.10
0.80,0.00,0.40
0.00,-0.60,-0.60
2.50,-0.40,-0.90
2.30,-1.50,0.60
2.00,-0.70,-1.30
3.90,-1.70,4.30
0.00,-1.90,-0.50
2.20,-2.30,3.10
0.00,-2.40,1.90
0.40,-2.50,0.50
1.70,-3.70,0.00
0.70,-4.00,1.50
1.50,-5.70,2.80
0.60,-6.50,-0.30
0.50,-7.90,8.70
-1.60,-7.60,4.20
0.20,-7.70,2.90
-3.50,-6.50,2.90
-1.50,-4.70,0.90
-2.00,-4.20,1.10
-2.20,-3.30,0.80
-1.40,-2.70,1.80
-0.50,-3.50,4.90
-0.80,-3.80,2.20
-1.10,-3.90,2.20
-1.60,-3.50,4.20
-4.10,-2.20,0.50
-3.80,-1.60,2.20
-5.50,-0.40,-0.20
-3.00,-0.60,0.90
-3.30,0.10,-0.70
-3.60,-0.10,1.80
-2.10,-0.50,0.90
-0.20,-0.60,2.60
1.50,-1.90,3.00
1.80,-2.30,1.90
3.00,-3.00,-3.50
0.30,-2.00,-1.70
0.50,-1.80,-4.50
-0.90,1.60,0.00
0.10,2.10,2.80
-0.80,1.50,2.90
-0.80,1.50,3.40
-2.10,-0.10,-1.80
-0.90,-0.70,-3.10
-0.40,-0.60,-5.00
1.30,-1.00,-0.30
0.70,-1.70,2.30
2.00,-1.70,-0.60
1.20,-2.10,3.70
2.70,-0.80,-0.30
0.00,-1.10,-1.90
1.40,-0.70,0.60
-1.80,-0.60,-4.70
1.40,-0.90,-2.20
-0.30,-1.40,0.00
2.20,-1.60,2.70
3.10,-2.80,0.70
1.50,-2.50,6.50
1.80,-1.90,0.60
1.30,-1.20,2.50
1.00,-1.00,-1.10
0.30,-0.90,1.30
-0.80,-0.50,-0.80
-0.70,-0.40,1.90
0.00,-0.10,1.40
-0.10,0.00,-0.50
-4.40,-0.20,7.30
-1.70,-0.50,-3.50
-3.60,-0.70,-3.40
-2.00,-0.80,-5.30
-2.50,0.60,0.00
-0.60,-0.70,0.40
-0.70,-0.60,0.60
-1.00,-0.90,3.00
0.70,-1.00,1.30
-1.50,-0.70,-2.80
1.10,-1.10,-0.10
-2.10,-1.20,-3.30
-0.30,-0.80,-2.40
1.50,0.10,2.30
0.30,0.10,-2.40
-1.70,0.60,2.00
